"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",CVE-2022-0436,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Path Traversal in GitHub repository gruntjs/grunt prior to 1.5.2.,OSSINDEX,"","","",MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-j383-35pm-c5h4,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Grunt prior to version 1.5.2 is vulnerable to path traversal.,NPM,"","","",MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",hosted-git-info:2.5.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?hosted-git-info,"","","","",pkg:npm/hosted-git-info@2.5.0,"",CVE-2021-23362,CWE-1333 Inefficient Regular Expression Complexity,The package hosted-git-info before 3.0.8 are vulnerable to Regular Expression Denial of Service (ReDoS) via regular expression shortcutMatch in the fromUrl function in index.js. The affected regular expression exhibits polynomial worst-case time complexity.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-23362 for details,OSSINDEX,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",hosted-git-info:2.5.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?hosted-git-info,"","","","",pkg:npm/hosted-git-info@2.5.0,"",GHSA-43f8-2h32-f4cj,CWE-400 Uncontrolled Resource Consumption,The npm package `hosted-git-info` before 3.0.8 are vulnerable to Regular Expression Denial of Service (ReDoS) via regular expression shortcutMatch in the fromUrl function in index.js. The affected regular expression exhibits polynomial worst-case time complexity,NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",https-proxy-agent:2.2.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?https-proxy-agent,"","","","",pkg:npm/https-proxy-agent@2.2.2,"",GHSA-pc5p-h8pf-mvwp,CWE-300 Channel Accessible by Non-Endpoint,"Versions of `https-proxy-agent` prior to 2.2.3 are vulnerable to Machine-In-The-Middle. The package fails to enforce TLS on the socket if the proxy server responds the to the request with a HTTP status different than 200. This allows an attacker with access to the proxy server to intercept unencrypted communications, which may include sensitive information such as credentials.   ## Recommendation  Upgrade to version 3.0.0 or 2.2.3.",NPM,"","","",MEDIUM,6.099999904632568,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",json-schema:0.2.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?json-schema,"","","","",pkg:npm/json-schema@0.2.3,"",CVE-2021-3918,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),json-schema is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),OSSINDEX,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",json-schema:0.2.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?json-schema,"","","","",pkg:npm/json-schema@0.2.3,"",GHSA-896r-f27r-55mw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes",json-schema before version 0.4.0 is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution').,NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",CVE-2020-8203,CWE-471 Modification of Assumed-Immutable Data (MAID),lodash - Prototype Pollution [ CVE-2020-8203 ]   The software does not properly protect an assumed-immutable element from being modified by an attacker.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2020-8203 for details,OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-p6mc-m468-83gw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-770 Allocation of Resources Without Limits or Throttling","Versions of lodash prior to 4.17.19 are vulnerable to Prototype Pollution. The functions `pick`, `set`, `setWith`, `update`, `updateWith`, and `zipObjectDeep` allow a malicious user to modify the prototype of Object if the property identifiers are user-supplied. Being affected by this issue requires manipulating objects based on user-provided property values or arrays.  This vulnerability causes the addition or modification of an existing property that will exist on all objects and may lead to Denial of Service or Code Execution under specific circumstances.",NPM,"","","",HIGH,7.400000095367432,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",CVE-2021-23337,CWE-94 Improper Control of Generation of Code ('Code Injection'),Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,OSSINDEX,"","","",HIGH,7.199999809265137,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-35jh-r3h4-6jhm,"CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'), CWE-94 Improper Control of Generation of Code ('Code Injection')",`lodash` versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,NPM,"","","",HIGH,7.199999809265137,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",CVE-2020-28500,CWE-Other,"Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2020-28500 for details",OSSINDEX,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-29mw-wpgm-hmr9,"CWE-400 Uncontrolled Resource Consumption, CWE-1333 Inefficient Regular Expression Complexity","All versions of package lodash prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the `toNumber`, `trim` and `trimEnd` functions.   Steps to reproduce (provided by reporter Liyuan Chen): ```js var lo = require('lodash');  function build_blank(n) {     var ret = ""1""     for (var i = 0; i < n; i++) {         ret += "" ""     }     return ret + ""1""; } var s = build_blank(50000) var time0 = Date.now(); lo.trim(s)  var time_cost0 = Date.now() - time0; console.log(""time_cost0: "" + time_cost0); var time1 = Date.now(); lo.toNumber(s) var time_cost1 = Date.now() - time1; console.log(""time_cost1: "" + time_cost1); var time2 = Date.now(); lo.trimEnd(s); var time_cost2 = Date.now() - time2; console.log(""time_cost2: "" + time_cost2); ```",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimatch:3.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimatch,"","","","",pkg:npm/minimatch@3.0.4,"",GHSA-f8q6-p94x-37v3,"CWE-400 Uncontrolled Resource Consumption, CWE-1333 Inefficient Regular Expression Complexity","A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:0.0.8,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@0.0.8,"",GHSA-xvch-5gv4-984h,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Minimist prior to 1.2.6 and 0.2.4 is vulnerable to Prototype Pollution via file `index.js`, function `setKey()` (lines 69-95).",NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:0.0.8,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@0.0.8,"",CVE-2020-7598,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"minimist before 1.2.2 could be tricked into adding or modifying properties of Object.prototype using a ""constructor"" or ""__proto__"" payload.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2020-7598 for details",OSSINDEX,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:0.0.8,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@0.0.8,"",GHSA-vh95-rmgr-6w4m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.   Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.   This is exploitable if attackers have control over the arguments being passed to `minimist`.   ## Recommendation  Upgrade to versions 0.2.1, 1.2.3 or later.",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:1.2.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@1.2.0,"",GHSA-xvch-5gv4-984h,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Minimist prior to 1.2.6 and 0.2.4 is vulnerable to Prototype Pollution via file `index.js`, function `setKey()` (lines 69-95).",NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:1.2.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@1.2.0,"",CVE-2020-7598,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"minimist before 1.2.2 could be tricked into adding or modifying properties of Object.prototype using a ""constructor"" or ""__proto__"" payload.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2020-7598 for details",OSSINDEX,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",minimist:1.2.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@1.2.0,"",GHSA-vh95-rmgr-6w4m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.   Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.   This is exploitable if attackers have control over the arguments being passed to `minimist`.   ## Recommendation  Upgrade to versions 0.2.1, 1.2.3 or later.",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",qs:6.5.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?qs,"","","","",pkg:npm/qs@6.5.2,"",CVE-2022-24999,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"qs before 6.10.3, as used in Express before 4.17.3 and other products, allows attackers to cause a Node process hang for an Express application because an __ proto__ key can be used. In many typical Express use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as a[__proto__]=b&a[__proto__]&a[length]=100000000. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4 (and therefore Express 4.17.3, which has ""deps: qs@6.9.7"" in its release description, is not vulnerable).  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-24999 for details",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",qs:6.5.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?qs,"","","","",pkg:npm/qs@6.5.2,"",GHSA-hrpp-h998-j3pp,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"qs before 6.10.3 allows attackers to cause a Node process hang because an `__ proto__` key can be used. In many typical web framework use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as `a[__proto__]=b&a[__proto__]&a[length]=100000000`. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
